Symbol,DATE,CLOSE,Sector
BAJAJ-AUTO,2019-08-22,2744.25,auto
BRITANNIA,2019-08-22,2440.75,food
JSWSTEEL,2019-08-22,217.0,iron_steel
GRASIM,2019-08-22,688.55,other
GAIL,2019-08-22,120.65,oil_refineries
HEROMOTOCO,2019-08-22,2626.25,auto
HINDALCO,2019-08-22,176.55,iron_steel
INFRATEL,2019-08-22,246.55,telecommunications
CIPLA,2019-08-22,464.0,pharmaceuticals
ADANIPORTS,2019-08-22,345.05,infra
RELIANCE,2019-08-21,1270.95,oil_refineries
SBIN,2019-08-21,277.4,banks
ICICIBANK,2019-08-21,412.05,banks
HDFCBANK,2019-08-21,1112.92,banks
BPCL,2019-08-21,327.8,oil_refineries
YESBANK,2019-08-21,65.4,banks
BAJFINANCE,2019-08-21,7145.85,finance
INDUSINDBK,2019-08-21,1367.2,banks
HDFC,2019-08-21,2066.9,finance
TCS,2019-08-21,2186.2,it
AXISBANK,2019-08-21,664.7,banks
LT,2019-08-21,1310.65,infra
TATAMOTORS,2019-08-21,112.4,auto
KOTAKBANK,2019-08-21,1505.75,banks
BHARTIARTL,2019-08-21,354.9,telecommunications
INFY,2019-08-21,799.45,it
POWERGRID,2019-08-21,204.9,power
MARUTI,2019-08-21,6228.9,auto
ONGC,2019-08-21,121.2,oil_refineries
TATASTEEL,2019-08-21,343.0,iron_steel
ASIANPAINT,2019-08-21,1589.15,chemical
HINDUNILVR,2019-08-21,1850.0,personal_care
SUNPHARMA,2019-08-21,417.0,pharmaceuticals
NTPC,2019-08-21,117.9,power
ZEEL,2019-08-21,344.2,media_entmt
COALINDIA,2019-08-21,188.8,mining
ITC,2019-08-21,241.45,other
VEDL,2019-08-21,139.95,mining
EICHERMOT,2019-08-21,16000.5,auto
IOC,2019-08-21,121.05,oil_refineries
DRREDDY,2019-08-21,2503.0,pharmaceuticals
BAJAJFINSV,2019-08-21,7145.85,finance
TITAN,2019-08-21,1065.3,other
